user,item
2,"LB0105ENv1, ST0101EN, PY0101EN, ML0120ENv2, DA0101EN, BD0123EN, BD0151EN, RP0103, DV0101EN, BC0101EN, SC0101EN, BD0223EN, BD0153EN, BD0212EN, BD0145EN, CL0101EN, BD0137EN, BD0221EN, TMP0105EN, WA0101EN, BD0135EN, BD0141EN, DB0101EN, LB0101ENv1, TA0106EN, CO0101EN, BD0211EN, BD0101EN, TMP0106, BD0121EN, RP0105EN, ML0115EN, DS0321EN, BD0111EN, ML0101EN, DV0151EN, DS0301EN, TA0105, LB0107ENv1, LB0109ENv1, LB0111EN, DS0103EN, DP0101EN, ML0103EN, BD0133EN, ML0122ENv1, RP0101EN, SC0103EN, BD0131EN, CP0101EN, SC0105EN, BD0143EN, ML0109EN, RP0151EN, PA0101EN, CB0103EN, DJ0101EN, RP0103EN, ML0122EN, LB0103ENv1, ML0120EN"
4,"PY0101EN, BD0153EN, BD0101EN, DS0105EN, BD0135EN, DS0321EN, DA0201EN, ML0103EN, BD0133EN, PA0107EN, DJ0101EN, BD0123EN, RP0103EN, DB0151EN, DP0101EN, RP0151EN, BD0121EN, BD0212EN, ML0109EN, DS0101EN, SC0105EN, ST0101EN, TMP0106, TA0105, DB0115EN, ML0115EN, SC0103EN, PA0101EN, BD0131EN, BD0211EN, RP0105EN, WA0103EN, DS0301EN, PA0103EN, DB0113EN, DB0111EN, DB0101EN, BD0151EN, PA0109EN, BD0115EN, WA0101EN, BD0111EN, DS0103EN, TMP0105EN"
5,"LB0107ENv1, ST0201EN, DB0151EN, DS0110EN, DS0201EN, DE0205EN, BC0101EN, BD0101EN, TMP0105EN, BD0221EN, BD0135EN, ST0301EN, DS0321EN, CC0103EN, ST0101EN, LB0103ENv1, RP0105EN, LB0111EN, RP0101EN, BD0123EN, LB0105ENv1, HCC105EN, CL0101EN, EE0101EN, DB0101EN, ML0111EN, DA0151EN, DS0132EN, CC0210EN, RP0103EN, DAI101EN, AI0111EN, DP0101EN, LB0109ENv1, DB0113EN, DS0103EN, WA0103EN, ML0120EN, TMP0101EN, TA0106EN, BC0201EN, DB0115EN, PA0101EN, RP0103, ML0151EN, CC0250EN, DV0151EN, ML0122EN, DV0101EN, TA0105EN, CB0103EN, ML0122ENv1, TMP107, CP0101EN, HCC104EN, ML0101EN, TMP0106, BD0133EN, CNSC02EN"
7,BD0211EN
8,"BD0111EN, RP0105EN, BD0212EN"
9,"BD0131EN, BD0115EN, ML0115EN, BD0121EN, CB0103EN, RP0105EN, BD0101EN, BD0111EN, DJ0101EN, BD0211EN"
12,"ML0115EN, DS0321EN, TMP0105EN, ST0101EN, BD0211EN, ML0122EN, DS0103EN, CB0103EN, BD0212EN, LB0101ENv1"
16,"PY0101EN, ML0120EN, ML0122EN, BD0211EN, BD0141EN, BD0212EN, BD0101EN, BC0101EN, ML0101EN"
17,TA0105
19,"BD0101EN, BD0133EN"
20,"OS0101EN, DS0132EN"
21,BD0101EN
22,"RP0151EN, ML0122EN"
23,"BD0211EN, TMP0105EN, PA0101EN, DP0101EN, ML0122EN"
25,"BD0135EN, BD0143EN, BD0151EN, DP0101EN, BD0123EN, DS0321EN, SC0105EN, BD0212EN, SC0103EN, BD0133EN, WA0101EN, BD0111EN, BD0211EN"
26,DB0111EN
27,"OS0101EN, RP0103EN, RAVSCTEST1, TA0105, ST0101EN"
28,"BD0211EN, DP0101EN, BD0115EN, RP0105EN, DS0101EN, PA0101EN, RP0151EN, WA0103EN, BD0101EN, TMP0101EN, RP0101EN, TMP0105EN, PY0101EN, ML0109EN, BD0121EN, BD0111EN, DB0151EN, SC0105EN, BD0212EN, ML0115EN, DS0103EN"
29,"PA0103EN, PA0107EN, PA0109EN, BD0101EN"
30,"BD0111EN, PA0107EN, BD0151EN, PA0101EN, PA0103EN"
33,BD0211EN
34,BD0101EN
35,"BD0111EN, DA0201EN, WA0101EN, BD0101EN"
36,"WA0101EN, RP0151EN, DA0151EN, BD0211EN, BD0101EN"
38,"ML0103EN, CB0103EN, DA0201EN, DS0301EN, DJ0101EN, BD0111EN, ML0115EN, DS0101EN, DS0110EN"
39,"RP0151EN, RP0103EN, BD0211EN, DJ0101EN, BD0101EN, WA0101EN"
40,"BD0101EN, BD0111EN, WA0101EN, BD0211EN"
41,"BD0111EN, BD0211EN"
42,ML0103EN
43,"WA0101EN, BD0111EN, BD0101EN, BD0211EN"
44,"BD0101EN, RP0151EN, BD0111EN, BD0211EN"
45,"BD0111EN, WA0101EN, BD0211EN, BD0101EN"
46,"BD0211EN, BD0121EN, BD0101EN, WA0101EN, BD0111EN"
47,"WA0101EN, BD0101EN, RP0151EN, BD0211EN, BD0111EN"
48,"SC0103EN, SC0105EN, ML0122EN, RP0151EN"
49,BD0101EN
51,RP0151EN
52,"RP0151EN, BD0101EN, WA0101EN"
53,"WA0101EN, BD0101EN"
54,WA0101EN
55,"WA0101EN, BD0101EN"
56,"BD0101EN, BD0111EN, WA0101EN, BD0211EN"
57,BD0101EN
58,"RP0151EN, BD0101EN, WA0101EN, DS0321EN, BD0111EN, RP0101EN, SC0105EN, DS0101EN, PY0101EN, TA0106EN"
59,BD0101EN
60,"WA0101EN, ML0103EN"
61,"RP0151EN, ML0109EN, PY0101EN, ST0101EN, DP0101EN, SC0103EN, BD0101EN, BD0133EN, BD0111EN, BD0135EN, BD0153EN, ML0103EN, RP0105EN, BD0211EN, DB0101EN, BD0123EN, BD0212EN, DS0321EN, BD0151EN, BD0143EN, ML0115EN, WA0101EN, SC0105EN, PA0101EN, DS0103EN, BD0131EN, DS0301EN, BD0121EN, DB0151EN, WA0103EN, BD0115EN, DB0111EN"
62,"WA0101EN, BD0101EN"
63,"RP0103EN, BD0211EN, DA0201EN, PY0101EN, BD0133EN, DS0321EN, BD0111EN, ST0101EN, WA0101EN, DP0101EN, DB0101EN, DB0113EN, BD0153EN, BD0123EN, BD0131EN, DB0111EN, ML0115EN, DB0115EN, BD0143EN, DJ0101EN, BD0212EN"
64,BD0111EN
65,ML0103EN
66,RP0151EN
67,"BD0111EN, BD0101EN"
68,"DA0151EN, PA0101EN"
78,"BD0101EN, ML0115EN"
79,"BD0211EN, BD0101EN"
80,BD0111EN
93,"ML0109EN, RP0151EN"
102,"DS0103EN, ML0115EN"
103,ML0115EN
104,"RP0151EN, BD0111EN"
106,DA0201EN
107,PY0101EN
108,PA0101EN
109,ML0103EN
110,"BD0101EN, DP0101EN, PA0101EN"
111,"BD0115EN, BD0101EN"
112,BD0101EN
113,"BD0211EN, BD0101EN, BD0121EN"
114,DS0103EN
116,"ML0122ENv1, TMP0105EN, DX0106EN, DX0107EN, ML0115EN, ML0101ENv3, ML0122EN, DX0108EN, BD0211EN, PY0101EN, TMP0106, ML0151EN, ML0120ENv2"
117,"BD0111EN, PY0101EN"
118,BD0121EN
119,"ML0109EN, TMP0105EN, DS0103EN"
120,SC0105EN
121,BD0211EN
122,"RP0151EN, ML0103EN"
123,"BD0121EN, PA0101EN, DS0103EN, BD0211EN, DP0101EN, BD0111EN, ML0103EN, ML0109EN, ML0151EN, ML0115EN"
125,DS0321EN
131,SC0105EN
132,PA0101EN
133,BD0101EN
134,BD0111EN
135,PA0101EN
136,SC0105EN
137,"BD0101EN, ML0115EN"
138,DS0103EN
146,"ML0103EN, BD0101EN, DS0301EN"
147,"SC0103EN, SC0105EN"
154,"CO0201EN, CC0271EN"
452,"RP0103, BD0101EN, DV0151EN, ML0120EN, ML0151EN, RP0101EN"
589,"DS0103EN, BD0101EN, DS0101EN, BD0111EN, DS0301EN"
704,"BC0101EN, CC0101EN, WA0101EN, DS0105EN, CC0201EN, DS0103EN, TA0105, BD0101EN, DS0101EN, EE0101EN, CL0101EN, DS0301EN, ML0115EN, PY0101EN, BD0211EN, CO0101EN, ML0120ENv2, BD0111EN"
768,ML0151EN
866,"TMP0105EN, ML0122EN, CB0103EN"
1321,DV0101EN
1383,"BD0101EN, BD0141EN, BD0111EN, ML0115EN, WA0101EN"
1804,DAI101EN
1938,"DB0101EN, CO0301EN, CC0101EN, CC0150EN, CC0103EN, CC0201EN"
2191,"DS0101EN, DA0101EN, BD0101EN, PY0101EN, DV0101EN"
2674,BD0111EN
3087,"BD0101EN, BD0133EN, BD0131EN, BD0111EN, BD0137EN, BD0135EN"
3264,BC0201EN
3450,"BC0101EN, DS0321EN, PY0101EN, DA0101EN, RP0101EN"
4930,"CC0103EN, RP0103, CC0101EN, CC0201EN, RP0151EN, BC0101EN"
5053,"PY0101EN, DS0101EN, DS0201EN, DS0103EN, RP0101EN, DS0105EN"
5555,"BD0153EN, BD0151EN"
6002,"SC0105EN, BD0221EN, BD0223EN, SC0101EN, SC0103EN"
6092,BD0211EN
6449,"BD0111EN, DS0105EN, DS0101EN, BD0137EN, DS0103EN, BD0101EN, DS0321EN"
6847,CL0101EN
6868,ST0101EN
7233,"CO0201EN, DS0101EN, ML0120EN, ML0115EN, CC0101EN, CB0103EN, CC0103EN"
7359,BC0201EN
7420,"DV0101EN, DS0103EN, PY0101EN, DA0101EN, DS0105EN, ML0101ENv3, DS0101EN"
7438,"BD0101EN, BD0111EN, RP0103EN, PY0101EN, DS0101EN"
7442,ML0122ENv1
7458,"DS0101EN, PY0101EN, ML0101ENv3, CC0201EN, ST0101EN, BD0211EN"
7575,"CL0101EN, ML0115EN, PY0101EN, BC0101EN, ML0101ENv3"
7702,"BC0101EN, ML0120EN, BD0101EN, CC0101EN, PY0101EN, CB0103EN, ML0109EN"
7764,"LB0109ENv1, LB0105ENv1, BD0135EN, LB0101ENv1, LB0111EN, CB0103EN, LB0103ENv1"
7789,"ML0115EN, TA0105EN, DA0101EN, ML0101ENv3, PY0101EN"
7909,"BD0211EN, SC0101EN, BC0101EN, BD0101EN, LB0105ENv1, BC0202EN, DS0321EN, DS0101EN, DS0301EN, DS0105EN, DP0101EN, ML0101ENv3, WA0101EN, DA0101EN, BC0201EN, ML0201EN, ML0115EN, DW0101EN, DS0103EN"
7928,CB0103EN
8030,"BD0101EN, DA0101EN, BD0211EN, RP0101EN, ML0101EN, CC0201EN, DS0201EN, CB0103EN, SC0103EN, SC0105EN, DV0101EN, ML0151EN, BC0101EN, ML0115EN, DS0105EN, SC0101EN, DS0101EN, PY0101EN, ML0120EN, DB0151EN, WA0101EN"
8059,"PY0101EN, ML0120EN, ML0101EN, DA0101EN, ML0115EN"
8075,"CB0103EN, BD0211EN, DB0101EN, BD0101EN, RP0101EN, BD0111EN, DA0101EN, DV0151EN, RP0103EN, SC0101EN, SC0105EN, ML0101EN, DS0103EN, DV0101EN, DS0101EN, BD0121EN, PY0101EN, ML0151EN, RP0105EN, DS0105EN"
8805,DS0101EN
9954,CB0103EN
10215,CB0103EN
10694,"PY0101EN, DS0101EN, ML0101EN, WA0101EN, BC0101EN"
11633,CB0103EN
12273,"ML0115EN, RP0101EN, DS0101EN, PY0101EN, DS0105EN, BD0111EN, BD0151EN, CB0103EN, ML0151EN"
12462,CB0103EN
12833,DS0132EN
12834,ML0122ENv1
13224,TMP0105EN
13365,"SC0103EN, SC0105EN"
13944,"RP0103EN, BD0101EN, ML0101ENv3, DA0101EN, PA0101EN, PY0101EN, RP0101EN"
14010,"RP0101EN, BD0143EN, ML0151EN, LB0107ENv1, TMP0105EN, PY0101EN"
14030,"DA0101EN, DB0151EN, PY0101EN, RP0101EN, DJ0101EN, DV0101EN"
14322,ML0122EN
14392,ML0122EN
14811,DS0301EN
15055,"BD0115EN, BD0111EN, DV0101EN, ML0101ENv3, PY0101EN"
15508,ML0122ENv1
15577,CB0103EN
15662,"BD0111EN, BD0131EN, DB0151EN, BD0101EN, BD0115EN, BD0211EN"
16030,"ML0122ENv1, LB0109ENv1, ML0120EN, ML0111EN, ML0115EN, LB0107ENv1"
16164,"BD0101EN, ML0115EN, CO0401EN, CO0101EN, BD0143EN, ML0120EN, BC0101EN, BC0201EN, BD0115EN, LB0101ENv1, BD0141EN, PY0101EN, CO0201EN, DB0151EN, BD0111EN, BD0211EN"
16941,"RP0101EN, PY0101EN, DS0101EN, DS0105EN, DS0103EN"
16951,"DS0103EN, DS0101EN, RP0101EN, PY0101EN, DS0105EN"
16963,"PY0101EN, BD0131EN, BD0111EN, BD0211EN, BD0133EN, BC0101EN"
16982,DS0101EN
18040,"ML0101EN, DJ0101EN, BC0101EN, BD0221EN, ML0120EN, RP0101EN, TA0106EN, PA0101EN, BD0131EN, DS0105EN, ST0101EN, TA0105, BD0223EN"
18169,"BD0111EN, BD0123EN, BD0115EN, BD0101EN, BD0121EN, SC0101EN"
18508,DAI101EN
19496,ML0122ENv1
19661,"BD0111EN, BD0141EN, BD0101EN, BD0115EN, BD0211EN"
20292,"DS0321EN, BD0101EN, PHPM002EN, CC0101EN, DV0101EN, DA0101EN, PY0101EN"
20833,"ML0120ENv2, ML0115EN, BD0115EN, BD0141EN, DV0101EN, BD0111EN, BD0211EN, ML0101ENv3, BD0131EN, BD0101EN"
20948,"DS0101EN, DS0105EN, BD0111EN, BD0101EN, ML0115EN"
21475,"SC0105EN, BD0151EN, BD0153EN, SC0103EN, WA0101EN"
