antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'PY0101EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.21189262456905442,0.426584553731915,0.14135014880513894,0.6670838548185232,1.5637787373748857,0.050960028114264644,1.7224020359706762,0.457454597899579
"frozenset({'DS0101EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.2267436720982998,0.44010961487462064,0.14135014880513894,0.623391812865497,1.416446702813094,0.041558078602698945,1.4866654636093146,0.38022065654459075
frozenset({'BD0111EN'}),frozenset({'BD0101EN'}),0.3123139935763326,0.3916374458555559,0.2541179243893096,0.813661666194924,2.07758904263465,0.1318040696401262,3.2648277019630183,0.7542291849740309
frozenset({'BD0101EN'}),frozenset({'BD0111EN'}),0.3916374458555559,0.3123139935763326,0.2541179243893096,0.6488601309156572,2.07758904263465,0.1318040696401262,1.9584389782251903,0.8525719615869384
"frozenset({'PY0101EN', 'BD0111EN'})",frozenset({'BD0101EN'}),0.16630815923623185,0.3916374458555559,0.13893390694522204,0.8354004252303331,2.1330963983930338,0.07380140423700512,3.696015345092834,0.6371634066020025
"frozenset({'PY0101EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.21189262456905442,0.3123139935763326,0.13893390694522204,0.6556807120011126,2.0994279010455474,0.07275687515669012,1.9972334701908696,0.6644776804912068
"frozenset({'BD0111EN', 'DS0101EN'})",frozenset({'BD0101EN'}),0.16339098918584435,0.3916374458555559,0.14314759701800395,0.8761045987376015,2.237029701855239,0.07915756733744711,4.910291648807779,0.6609762260888872
"frozenset({'DS0101EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.2267436720982998,0.3123139935763326,0.14314759701800395,0.6313190383365822,2.0214241158626844,0.07233237526682149,1.8652604227811493,0.6534692891878296
"frozenset({'PY0101EN', 'BD0111EN'})",frozenset({'DS0101EN'}),0.16630815923623185,0.426584553731915,0.10481185726493208,0.6302267895109851,1.4773783626189336,0.033867365375167865,1.550721983103532,0.3875836472871768
"frozenset({'BD0111EN', 'DS0101EN'})",frozenset({'PY0101EN'}),0.16339098918584435,0.44010961487462064,0.10481185726493208,0.6414788097385032,1.4575432757160942,0.03290191194036682,1.56166608929589,0.3752219024028674
"frozenset({'PY0101EN', 'BD0111EN', 'DS0101EN'})",frozenset({'BD0101EN'}),0.10481185726493208,0.3916374458555559,0.09149306067124377,0.872926623559179,2.228915117276944,0.05044481259662868,4.7874902767517415,0.6159054340140295
"frozenset({'PY0101EN', 'BD0111EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.13893390694522204,0.426584553731915,0.09149306067124377,0.6585365853658536,1.543742218523242,0.03222600197878482,1.6792880926422484,0.409055075197023
"frozenset({'PY0101EN', 'DS0101EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.14135014880513894,0.3123139935763326,0.09149306067124377,0.647279549718574,2.0725281704688414,0.04734743120530195,1.9496629862968864,0.6026874757542299
"frozenset({'BD0111EN', 'DS0101EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.14314759701800395,0.44010961487462064,0.09149306067124377,0.6391519143680526,1.4522561942895422,0.028492426877422664,1.5515958305414104,0.3634421285255519
frozenset({'DA0101EN'}),frozenset({'PY0101EN'}),0.2446592214986593,0.44010961487462064,0.2233845065857324,0.9130434782608695,2.074581984583498,0.11570763083643294,6.438739428941859,0.6857503241602484
frozenset({'DA0101EN'}),frozenset({'DS0101EN'}),0.2446592214986593,0.426584553731915,0.14901140348292424,0.6090569673611947,1.4277520412610947,0.04464355866352092,1.4667493685655912,0.39663987212701934
"frozenset({'DA0101EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.10522438636296667,0.44010961487462064,0.095824616200607,0.9106692803136376,2.06918742407632,0.04951435204298346,6.267613057312629,0.5774838888479776
"frozenset({'DA0101EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.10522438636296667,0.426584553731915,0.07337124672186698,0.6972836740408849,1.6345731882244603,0.028484148823506243,1.89423363424915,0.4338735829837165
"frozenset({'DA0101EN', 'PY0101EN', 'BD0101EN'})",frozenset({'DS0101EN'}),0.095824616200607,0.426584553731915,0.06856822936617851,0.715559655596556,1.677415765143353,0.02769092822771054,2.015942736501419,0.4466444069410963
"frozenset({'DA0101EN', 'DS0101EN', 'BD0101EN'})",frozenset({'PY0101EN'}),0.07337124672186698,0.44010961487462064,0.06856822936617851,0.9345381526104419,2.1234213501031447,0.03627683822854686,8.552926742099375,0.5709534759400162
"frozenset({'DA0101EN', 'BD0101EN'})","frozenset({'PY0101EN', 'DS0101EN'})",0.10522438636296667,0.26619913368889414,0.06856822936617851,0.6516381965835901,2.447935076096668,0.04055758887341129,2.1064331942097745,0.6610511337672376
"frozenset({'DA0101EN', 'BD0111EN'})",frozenset({'PY0101EN'}),0.08123876594866959,0.44010961487462064,0.0738132421840469,0.9085963003264417,2.0644772793370683,0.03805928018948849,6.12546742774075,0.5612077064600753
"frozenset({'DA0101EN', 'BD0111EN'})",frozenset({'BD0101EN'}),0.08123876594866959,0.3916374458555559,0.06733064207207473,0.8287994196590498,2.116241509665877,0.03551449927148047,3.553507546136088,0.5741036095909543
"frozenset({'DA0101EN', 'BD0101EN'})",frozenset({'BD0111EN'}),0.10522438636296667,0.3123139935763326,0.06733064207207473,0.6398767852142258,2.0488252155689386,0.03446759374543762,1.9095853257689865,0.5721159692740543
"frozenset({'DA0101EN', 'BD0111EN'})",frozenset({'DS0101EN'}),0.08123876594866959,0.426584553731915,0.05389398002180511,0.6634022488211825,1.5551483123744194,0.019238777303860394,1.7035629152598173,0.3885389373892434
"frozenset({'DA0101EN', 'PY0101EN', 'BD0111EN'})",frozenset({'BD0101EN'}),0.0738132421840469,0.3916374458555559,0.061938297433479686,0.839121756487026,2.142598378594553,0.033030267794201984,3.78150917650579,0.5757769358298186
